source,target,value
Chicago O'hare Intl,San Francisco Intl,20
Chicago O'hare Intl,Phoenix Sky Harbor Intl,20
Chicago O'hare Intl,Pittsburgh Intll,20
Chicago O'hare Intl,Philadelphia Intl,20
Chicago O'hare Intl,Salt Lake City Intl,20
Chicago O'hare Intl,San Diego Intl-Lindbergh Fld,20
Chicago O'hare Intl,Tampa Intl,20
Chicago O'hare Intl,Raleigh-Durham Intll,20
Chicago O'hare Intl,San Jose Intll,20
Chicago O'hare Intl,Palm Beach Intl,20
Chicago O'hare Intl,San Antonio Intl,20
Chicago O'hare Intl,Sacramento Metropolitan,20
Chicago O'hare Intl,Palm Springs Regional,20
Chicago O'hare Intl,Roanoke Regional/Woodrum Field,20
Chicago O'hare Intl,Toledo Express,20
Chicago O'hare Intl,Greater Peoria Regional,20
Chicago O'hare Intl,Dallas/Fort Worth Intl,20
Chicago O'hare Intl,Los Angeles Intl,20
Chicago O'hare Intl,Miami Intl,20
Chicago O'hare Intl,Honolulu Intl,20
Chicago O'hare Intl,Orlando Intl,20
Chicago O'hare Intl,Houston Intercontinental,20
Chicago O'hare Intl,Charlotte/Douglas Intl,20
Chicago O'hare Intl,Washington National,20
Chicago O'hare Intl,Baltimore-Washington Intl,20
Chicago O'hare Intl,Washington Dulles Intl,20
Chicago O'hare Intl,Cincinnati/Northern Kentucky I,20
Chicago O'hare Intl,Fort Lauderdale/Hollywood Intl,20
Chicago O'hare Intl,Memphis Intl,20
Chicago O'hare Intl,Cleveland-Hopkins Intl,20
Chicago O'hare Intl,Nashville Intll,20
Chicago O'hare Intl,Kansas City Intl,20
Chicago O'hare Intl,Indianapolis Intl,20
Chicago O'hare Intl,Metropolitan Oakland Intl,20
Chicago O'hare Intl,Ontario Intl,20
Chicago O'hare Intl,Albuquerque Intl,20
Chicago O'hare Intl,James M Cox Dayton Intl,20
Chicago O'hare Intl,Port Columbus Intl,20
Chicago O'hare Intl,El Paso Intl,20
Chicago O'hare Intl,Jacksonville Intl,20
Chicago O'hare Intl,Birmingham Intl,20
Chicago O'hare Intl,Des Moines Intl,20
Chicago O'hare Intl,Charleston Afb/Intl,20
Chicago O'hare Intl,Harrisburg Intll,20
Chicago O'hare Intl,City Of Colorado Springs Muni,20
Chicago O'hare Intl,Wichita Mid-Continent,20
Chicago O'hare Intl,Columbia Metropolitan,20
Chicago O'hare Intl,Huntsville Intl-Carl T Jones F,20
Chicago O'hare Intl,Cedar Rapids Muni,20
Chicago O'hare Intl,Akron-Canton Regional,20
Chicago O'hare Intl,Fort Wayne Intll,20
Chicago O'hare Intl,Lincoln Muni,20
Chicago O'hare Intl,Evansville Regional,20
Chicago O'hare Intl,Aspen-Pitkin Co/Sardy Field,20
Chicago O'hare Intl,Bloomington/Normal,20
Chicago O'hare Intl,Decatur,20
Chicago O'hare Intl,Burlington Regional,20
Chicago O'hare Intl,Eagle County Regional,20
